Temp. level:    1.000     Acceptance ratio:    0.900     Current cost:       17.882
Temp. level:    0.850     Acceptance ratio:    0.870     Current cost:       17.518
Temp. level:    0.722     Acceptance ratio:    0.750     Current cost:       19.739
Temp. level:    0.614     Acceptance ratio:    0.730     Current cost:       24.458
Temp. level:    0.522     Acceptance ratio:    0.710     Current cost:       15.707
Temp. level:    0.444     Acceptance ratio:    0.320     Current cost:       15.587
Temp. level:    0.377     Acceptance ratio:    0.480     Current cost:       18.975
Temp. level:    0.321     Acceptance ratio:    0.310     Current cost:       13.723
Temp. level:    0.272     Acceptance ratio:    0.130     Current cost:       10.797
Temp. level:    0.232     Acceptance ratio:    0.100     Current cost:        9.548
Temp. level:    0.197     Acceptance ratio:    0.020     Current cost:        7.797
Temp. level:    0.167     Acceptance ratio:    0.010     Current cost:        7.722
Temp. level:    0.142     Acceptance ratio:    0.010     Current cost:        7.281
Temp. level:    0.121     Acceptance ratio:    0.010     Current cost:        6.978
Temp. level:    0.103     Acceptance ratio:    0.010     Current cost:        6.793
Temp. level:    0.087     Acceptance ratio:    0.000     Current cost:        6.793
Temp. level:    0.074     Acceptance ratio:    0.000     Current cost:        6.793
Temp. level:    0.063     Acceptance ratio:    0.000     Current cost:        6.793
Temp. level:    0.054     Acceptance ratio:    0.050     Current cost:        6.265
Temp. level:    0.046     Acceptance ratio:    0.010     Current cost:        6.221
Temp. level:    0.039     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.033     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.028     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.024     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.020     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.017     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.015     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.012     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.011     Acceptance ratio:    0.000     Current cost:        6.221
Temp. level:    0.009     Acceptance ratio:    0.000     Current cost:        6.221
sectors ABAA0001 on ch 59,ABAK0002 on ch 59, cost =0.050
sectors ABAC0001 on ch **,ABAS0001 on ch **, cost =0.061
sectors ABAC0001 on ch **,ABAG0003 on ch **, cost =0.003
sectors ABAC0003 on ch 64,ABAM0003 on ch 64, cost =0.029
sectors ABAD0001 on ch **,ABAI0003 on ch **, cost =0.002
sectors ABAD0001 on ch 98,ABAT0002 on ch 98, cost =0.005
sectors ABAD0001 on ch 43,ABAU0001 on ch 43, cost =0.004
sectors ABAD0001 on ch 26,ABAG0003 on ch 26, cost =0.028
sectors ABAD0001 on ch 98,ABAH0001 on ch 98, cost =0.203
sectors ABAD0001 on ch 19,ABAJ0002 on ch 19, cost =0.035
sectors ABAD0001 on ch 43,ABAJ0002 on ch 43, cost =0.035
sectors ABAD0001 on ch 67,ABAL0002 on ch 67, cost =0.370
sectors ABAD0001 on ch 19,ABAM0003 on ch 19, cost =0.295
sectors ABAD0001 on ch **,ABAN0001 on ch **, cost =0.014
sectors ABAD0001 on ch **,ABAO0002 on ch **, cost =0.026
sectors ABAD0001 on ch 11,ABAQ0001 on ch 11, cost =0.178
sectors ABAD0001 on ch 19,ABAQ0002 on ch 19, cost =0.081
sectors ABAD0001 on ch 26,ABAR0001 on ch 26, cost =0.028
sectors ABAI0001 on ch 30,ABAH0002 on ch 30, cost =0.002
sectors ABAI0003 on ch **,ABAD0001 on ch **, cost =0.012
sectors ABAI0003 on ch **,ABAO0002 on ch **, cost =0.055
sectors ABAS0001 on ch **,ABAC0001 on ch **, cost =0.005
sectors ABAS0001 on ch 83,ABAE0003 on ch 83, cost =0.042
sectors ABAS0001 on ch 85,ABAE0003 on ch 85, cost =0.042
sectors ABAS0001 on ch 74,ABAF0002 on ch 74, cost =0.002
sectors ABAS0001 on ch **,ABAG0003 on ch **, cost =0.012
sectors ABAS0001 on ch 85,ABAG0003 on ch 85, cost =0.012
sectors ABAS0001 on ch 88,ABAJ0002 on ch 88, cost =0.015
sectors ABAS0001 on ch 88,ABAK0002 on ch 88, cost =0.014
