study index3
Site ID   Ant. Elev. AMSL (m )  Frequency (MHz)  ERPi(dbW) Orient./Pol.  Group  Coordinates
--------  --------------------  ---------------  ----------  ------------  -----  ---------------------------
ABAA0001                 116.0        960.00000       23.00    Use file-vertical      1  N44°20'03.53" W123°12'55.23"
ABAA0002                 116.0        960.00000       23.00    Use file-vertical      1  N44°20'03.53" W123°12'55.23"
ABAB0001                 955.4        960.00000       24.90    Use file-vertical      1  N44°30'28.77" W122°36'27.62"
ABAC0001                 399.6        960.00000       22.00    Use file-vertical      1  N44°20'55.97" W122°54'29.82"
ABAC0002                 394.6        960.00000       22.50    Use file-vertical      1  N44°20'55.97" W122°54'29.82"
ABAC0003                 394.6        960.00000       22.50    Use file-vertical      1  N44°20'55.97" W122°54'29.82"
ABAD0001                 150.2        960.00000       23.00    Use file-vertical      1  N44°34'57.97" W122°50'25.96"
ABAD0002                 155.2        960.00000       22.50    Use file-vertical      1  N44°34'57.97" W122°50'25.96"
ABAE0001                 327.3        960.00000       23.00    Use file-vertical      1  N44°31'37.01" W122°46'04.88"
ABAE0002                 317.3        960.00000       24.00    Use file-vertical      1  N44°31'37.01" W122°46'04.88"
ABAF0001                 569.7        960.00000       22.00    Use file-vertical      1  N44°42'06.74" W122°38'20.33"
ABAF0002                 564.7        960.00000       22.50    Use file-vertical      1  N44°42'06.74" W122°38'20.33"
ABAF0003                 564.7        960.00000       22.50    Use file-vertical      1  N44°42'06.74" W122°38'20.33"
ABAH0001                 671.7        960.00000       23.50    Use file-vertical      1  N44°23'55.65" W122°51'48.77"
ABAH0002                 671.7        960.00000       23.50    Use file-vertical      1  N44°23'55.65" W122°51'48.77"
ABAI0001                 155.1        960.00000       23.00    Use file-vertical      1  N44°43'15.07" W122°52'12.72"
ABAI0002                 160.1        960.00000       22.50    Use file-vertical      1  N44°43'15.07" W122°52'12.72"
ABAJ0001                 125.1        960.00000       23.00    Use file-vertical      1  N44°39'56.57" W123°09'28.56"
ABAJ0002                 125.1        960.00000       23.00    Use file-vertical      1  N44°39'56.57" W123°09'28.56"
ABAJ0003                 125.1        960.00000       23.00    Use file-vertical      1  N44°39'56.57" W123°09'28.56"
ABAK0001                 106.5        960.00000       23.00    Use file-vertical      1  N44°27'04.12" W123°11'31.33"
ABAK0002                 111.5        960.00000       22.50    Use file-vertical      1  N44°27'04.12" W123°11'31.33"
ABAL0001                 119.9        960.00000       19.40    Use file-vertical      1  N44°43'21.73" W122°59'54.92"
ABAL0002                 134.9        960.00000       17.90    Use file-vertical      1  N44°43'21.73" W122°59'54.92"
ABAL0003                 119.9        960.00000       19.40    Use file-vertical      1  N44°43'21.73" W122°59'54.92"
ABAM0001                 426.2        960.00000       23.00    Use file-vertical      1  N44°36'37.62" W122°42'59.30"
ABAM0002                 431.2        960.00000       22.50    Use file-vertical      1  N44°36'37.62" W122°42'59.30"
ABAN0001                 261.9        960.00000       21.00    Use file-vertical      1  N44°44'31.32" W122°47'27.16"
ABAN0002                 261.9        960.00000       21.00    Use file-vertical      1  N44°44'31.32" W122°47'27.16"
ABAO0001                 179.6        960.00000       23.50    Use file-vertical      1  N44°25'02.08" W123°01'05.58"
ABAO0002                 179.6        960.00000       23.50    Use file-vertical      1  N44°25'02.08" W123°01'05.58"
ABAP0001                 112.0        960.00000       22.00    Use file-vertical      1  N44°32'56.62" W123°10'37.69"
ABAP0002                 107.0        960.00000       22.50    Use file-vertical      1  N44°32'56.62" W123°10'37.69"
ABAP0003                 107.0        960.00000       22.50    Use file-vertical      1  N44°32'56.62" W123°10'37.69"
ABAQ0001                 535.8        960.00000       22.00    Use file-vertical      1  N44°23'22.07" W122°37'23.79"
ABAQ0002                 530.8        960.00000       22.50    Use file-vertical      1  N44°23'22.07" W122°37'23.79"
ABAQ0003                 530.8        960.00000       22.50    Use file-vertical      1  N44°23'22.07" W122°37'23.79"
ABAR0001                 164.3        960.00000       22.00    Use file-vertical      1  N44°29'53.80" W122°54'34.10"
ABAR0002                 159.3        960.00000       22.50    Use file-vertical      1  N44°29'53.80" W122°54'34.10"
ABAT0001                 109.8        960.00000       23.50    Use file-vertical      1  N44°22'37.40" W123°07'52.42"
ABAT0002                 109.8        960.00000       23.50    Use file-vertical      1  N44°22'37.40" W123°07'52.42"
ABAU0001                  98.0        960.00000       19.40    Use file-vertical      1  N44°39'44.77" W123°03'35.92"
ABAU0002                  98.0        960.00000       19.40    Use file-vertical      1  N44°39'44.77" W123°03'35.92"
ABAU0003                  98.0        960.00000       19.40    Use file-vertical      1  N44°39'44.77" W123°03'35.92"
ABAV0001                 100.2        960.00000       19.40    Use file-vertical      1  N44°37'26.96" W123°05'23.46"
ABAV0002                 100.2        960.00000       19.40    Use file-vertical      1  N44°37'26.96" W123°05'23.46"
ABAV0003                 100.2        960.00000       19.40    Use file-vertical      1  N44°37'26.96" W123°05'23.46"
ABBA0001                 159.9        960.00000       30.00    Use file-vertical      1  N44°46'00.32" W123°11'32.65"
ABBA0002                 149.9        960.00000       31.00    Use file-vertical      1  N44°46'00.32" W123°11'32.65"
ABBB0001                 134.9        960.00000       23.00    Use file-vertical      1  N44°32'16.09" W122°55'16.64"
ABBB0002                 134.9        960.00000       23.00    Use file-vertical      1  N44°32'16.09" W122°55'16.64"
ABBD0001                 304.8        960.00000       22.00    Use file-vertical      1  N44°23'10.11" W122°44'20.94"
ABBD0002                 299.8        960.00000       22.50    Use file-vertical      1  N44°23'10.11" W122°44'20.94"
